UT_datetime, Type, Brightness, Zenith, Conditions, Latitude, Longitude, Moon_alt, Moon_illum, Clear SkyClock, Site description, User
2023-12-13 07:00:01, SQM-L,18.2, Up,0%, 39.2369, -84.4741,  -72, 0, https://www.cleardarksky.com/c/CncntObCOHkey.html, Wyoming  OH, mgarrod
2023-12-13 06:00:02, SQM-L,18.21, Up,0%, 39.2369, -84.4741,  -78, 0, https://www.cleardarksky.com/c/CncntObCOHkey.html, Wyoming  OH, mgarrod
2023-12-13 05:00:01, SQM-L,18.17, Up,0%, 39.2369, -84.4741,  -76, 0, https://www.cleardarksky.com/c/CncntObCOHkey.html, Wyoming  OH, mgarrod
2023-12-13 04:00:02, SQM-L,18.14, Up,0%, 39.2369, -84.4741,  -66, 0, https://www.cleardarksky.com/c/CncntObCOHkey.html, Wyoming  OH, mgarrod
2023-12-13 03:00:02, SQM-L,18.09, Up,0%, 39.2369, -84.4741,  -56, 0, https://www.cleardarksky.com/c/CncntObCOHkey.html, Wyoming  OH, mgarrod
2023-12-13 02:00:01, SQM-L,18.05, Up,0%, 39.2369, -84.4741,  -45, 0, https://www.cleardarksky.com/c/CncntObCOHkey.html, Wyoming  OH, mgarrod
2023-12-13 01:00:01, SQM-L,18.06, Up,0%, 39.2369, -84.4741,  -34, 0, https://www.cleardarksky.com/c/CncntObCOHkey.html, Wyoming  OH, mgarrod
2023-12-13 00:00:02, SQM-L,18.07, Up,0%, 39.2369, -84.4741,  -23, 0, https://www.cleardarksky.com/c/CncntObCOHkey.html, Wyoming  OH, mgarrod
2023-12-12 23:12:09, SQM-L,17.59, Up,0%, 39.2369, -84.4741,  -15, 0, https://www.cleardarksky.com/c/CncntObCOHkey.html, Wyoming  OH, mgarrod
2023-12-12 12:00:02, SQM-L,16.5, Up,0%, 39.2369, -84.4741,  -7, 0, https://www.cleardarksky.com/c/CncntObCOHkey.html, Wyoming  OH, mgarrod
2023-12-12 11:00:02, SQM-L,18.23, Up,0%, 39.2369, -84.4741,  -17, 0, https://www.cleardarksky.com/c/CncntObCOHkey.html, Wyoming  OH, mgarrod
